station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
4565,station_004565,16128,glofas_v5,15,-24,stations/station_004565.json,"SCANLON, MN",SAINT LOUIS,United States,-92.42,46.7,-92.425,46.725,,,2.806,8883.7,8948.1,0.72,0.797,0.84,47.317,1739,0.797,0.84,47.317,1739,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4566,station_004566,16129,glofas_v5,15,-24,stations/station_004566.json,"NEAR ODANAH, WIS.",BAD,United States,-90.7,46.49,-90.675,46.525,,,4.337,1546.2,1582.8,2.37,0.729,0.746,22.467,1734,0.729,0.746,22.467,1734,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4567,station_004567,16130,glofas_v5,15,-24,stations/station_004567.json,"NEAR ROCKLAND, MI",ONTONAGON,United States,-89.21,46.72,-89.175,46.725,,,2.725,3470.6,3672.4,5.81,0.735,0.745,41.405,1786,0.735,0.745,41.405,1786,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4568,station_004568,16131,glofas_v5,15,-24,stations/station_004568.json,"NEAR PARADISE, MICH.",TAHQUAMENON,United States,-85.27,46.58,-85.275,46.575,,,0.675,2046.1,2010.2,-1.75,0.836,0.851,15.848,1801,0.836,0.851,15.848,1801,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4569,station_004569,16132,glofas_v5,15,-24,stations/station_004569.json,"NEAR HYDE, MICH.",FORD,United States,-87.2,45.76,-87.175,45.725,,,4.349,1165.5,1248.6,7.13,0.758,0.778,11.519,1744,0.758,0.778,11.519,1744,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4570,station_004570,16133,glofas_v5,15,-24,stations/station_004570.json,"BERLIN, WIS.",Fox,United States,-88.95,43.95,-88.975,43.975,,,3.425,3470.6,3508.6,1.09,0.682,0.735,17.497,1739,0.682,0.735,17.497,1739,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4571,station_004571,16134,glofas_v5,15,-24,stations/station_004571.json,"NEW LONDON, WI",WOLF,United States,-88.74,44.39,-88.725,44.375,,,2.05,5853.4,5835.9,-0.3,0.741,0.83,30.033,1734,0.741,0.83,30.033,1734,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4572,station_004572,16135,glofas_v5,15,-24,stations/station_004572.json,"MILWAUKEE, WIS.",MILWAUKEE,United States,-87.91,43.1,-87.925,43.125,,,3.035,1802.6,1888.3,4.75,0.576,0.647,18.51,1382,0.576,0.647,18.51,1382,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4573,station_004573,16137,glofas_v5,15,-24,stations/station_004573.json,"NEAR MANISTIQUE, MI",MANISTIQUE,United States,-86.16,46.03,-86.175,46.025,,,1.285,2849.0,2868.7,0.69,0.72,0.765,26.098,1796,0.72,0.765,26.098,1796,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4574,station_004574,16138,glofas_v5,15,-24,stations/station_004574.json,"NILES, MI",SAINT JOSEPH,United States,-86.26,41.83,-86.275,41.775,,,6.241,9494.9,9510.6,0.17,0.843,0.874,36.738,1825,0.843,0.874,36.738,1825,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4575,station_004575,16140,glofas_v5,15,-24,stations/station_004575.json,"GOSHEN, IND.",ELKHART,United States,-85.85,41.59,-85.875,41.575,,,2.666,1538.5,1693.8,10.09,0.779,0.81,8.672,1826,0.779,0.81,8.672,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4576,station_004576,16141,glofas_v5,15,-24,stations/station_004576.json,"NEAR ALLEGAN, MI",KALAMAZOO,United States,-85.8,42.48,-85.825,42.475,,,2.124,3962.7,3753.2,-5.29,0.321,0.323,6.808,183,0.321,0.323,6.808,183,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4577,station_004577,16142,glofas_v5,15,-24,stations/station_004577.json,"NEAR BATTLE CREEK, MI",KALAMAZOO,United States,-85.2,42.32,-85.225,42.325,,,2.129,2134.2,2198.6,3.02,0.798,0.82,9.581,1826,0.798,0.82,9.581,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4578,station_004578,16144,glofas_v5,15,-24,stations/station_004578.json,"NEAR CROTON, MI",MUSKEGON,United States,-85.67,43.43,-85.675,43.425,,,0.687,5990.7,6217.1,3.78,0.842,0.842,19.311,1823,0.842,0.842,19.311,1823,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4579,station_004579,16145,glofas_v5,15,-24,stations/station_004579.json,"EVART, MI",MUSKEGON,United States,-85.26,43.9,-85.225,43.925,,,3.948,3711.5,3818.9,2.89,0.817,0.84,13.141,1766,0.817,0.84,13.141,1766,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4580,station_004580,16146,glofas_v5,15,-24,stations/station_004580.json,"LANSING, MI",Grand,United States,-84.56,42.75,-84.575,42.775,,,3.038,3185.7,3198.1,0.39,0.749,0.784,19.481,1826,0.749,0.784,19.481,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4581,station_004581,16147,glofas_v5,15,-24,stations/station_004581.json,"NEAR SHERMAN, MICH.",MANISTEE,United States,-85.7,44.44,-85.725,44.425,,,2.593,2219.6,2382.6,7.34,0.733,0.839,5.725,1421,0.733,0.839,5.725,1421,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4582,station_004582,16148,glofas_v5,15,-24,stations/station_004582.json,"NEAR WELLSTON, MI",MANISTEE,United States,-85.94,44.26,-85.925,44.275,,,2.051,3758.1,3670.1,-2.34,0.774,0.833,8.175,1775,0.774,0.833,8.175,1775,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4583,station_004583,16149,glofas_v5,15,-24,stations/station_004583.json,"MIDLAND, MI",TITTABAWASEE,United States,-84.24,43.6,-84.225,43.625,,,3.031,6216.0,6128.0,-1.42,0.738,0.752,47.076,1802,0.738,0.752,47.076,1802,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4584,station_004584,16150,glofas_v5,15,-24,stations/station_004584.json,"NEAR MOUNT PLEASANT, MICH.",CHIPPEWA,United States,-84.71,43.63,-84.675,43.625,,,2.871,1077.4,1164.4,8.07,0.776,0.784,5.244,1812,0.776,0.784,5.244,1812,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4585,station_004585,16151,glofas_v5,15,-24,stations/station_004585.json,"OWOSSO, MICH.",SHIAWASSEE,United States,-84.18,43.02,-84.175,43.025,,,0.689,1393.4,1454.4,4.38,0.764,0.764,8.474,1759,0.764,0.764,8.474,1759,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4587,station_004587,16155,glofas_v5,15,-24,stations/station_004587.json,"HERRON ROAD NEAR BOLTON, MI",THUNDERBAY,United States,-83.64,45.12,-83.725,45.125,,,6.692,1517.7,1621.4,6.83,0.764,0.812,6.34,1769,0.764,0.812,6.34,1769,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4588,station_004588,16156,glofas_v5,15,-24,stations/station_004588.json,"NEAR MONROE, MICH.",RAISIN,United States,-83.53,41.96,-83.525,41.975,,,1.718,2698.8,2761.5,2.32,0.785,0.789,21.036,1826,0.785,0.789,21.036,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4589,station_004589,16157,glofas_v5,15,-24,stations/station_004589.json,"ANTWERP, OH",MAUMEE,United States,-84.74,41.2,-84.725,41.175,,,3.05,5514.1,5404.6,-1.99,0.792,0.805,47.527,1809,0.792,0.805,47.527,1809,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
