station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
11211,station_011211,7000537,iyp3,15,-24,stations/station_011211.json,"Trubach , Bärenthal",,,11.27163,49.69432,11.625,49.375,162,766,43.715,61.8,274.2,343.69,-18.778,0.242,2.588,731,-18.778,0.242,2.588,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11212,station_011212,7000538,iyp3,15,-24,stations/station_011212.json,"Aisch , Illesheim",,,10.39179,49.48488,10.375,49.875,160,761,43.396,97.9,173.0,76.71,-0.04,0.04,0.598,731,-0.04,0.04,0.598,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11213,station_011213,7000539,iyp3,15,-24,stations/station_011213.json,"Aisch , Birkenfeld",,,10.56756,49.57324,10.625,49.875,160,762,33.807,279.3,321.3,15.04,-0.016,0.175,1.889,726,-0.016,0.175,1.889,726,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11214,station_011214,7000540,iyp3,15,-24,stations/station_011214.json,"Aisch , Rappoldshofen",,,10.67199,49.62132,10.625,49.625,161,762,3.409,685.4,890.7,29.95,0.082,0.096,5.049,731,0.082,0.096,5.049,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11215,station_011215,7000541,iyp3,15,-24,stations/station_011215.json,"Aisch , Hallerndorf",,,10.98403,49.75917,11.125,49.875,160,764,16.376,982.7,432.7,-55.97,0.289,0.314,4.724,731,0.289,0.314,4.724,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11216,station_011216,7000542,iyp3,15,-24,stations/station_011216.json,"Scheine , Scheinfeld",,,10.46591,49.66042,10.375,49.875,160,761,24.737,64.4,173.0,168.63,-0.004,0.084,0.852,731,-0.004,0.084,0.852,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11217,station_011217,7000543,iyp3,15,-24,stations/station_011217.json,"Reiche Ebrach , Röbersdorf",,,10.92639,49.79997,10.625,49.875,160,762,23.169,279.6,321.3,14.91,0.111,0.219,1.83,731,0.111,0.219,1.83,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11218,station_011218,7000544,iyp3,15,-24,stations/station_011218.json,"Rauhe Ebrach , Schönbrunn",,,10.69023,49.85527,10.375,49.875,160,761,22.7,110.0,173.0,57.27,-0.183,0.061,1.151,731,-0.183,0.061,1.151,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11219,station_011219,7000545,iyp3,15,-24,stations/station_011219.json,"Rauhe Ebrach , Vorra",,,10.84172,49.82251,10.625,49.875,160,762,16.599,296.9,321.3,8.22,0.047,0.102,2.691,731,0.047,0.102,2.691,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11220,station_011220,7000546,iyp3,15,-24,stations/station_011220.json,"Nassach , Römershofen",,,10.51855,50.07611,10.375,49.875,160,761,24.606,139.1,173.0,24.37,-0.04,0.037,0.759,713,-0.04,0.037,0.759,713,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11221,station_011221,7000547,iyp3,15,-24,stations/station_011221.json,"Volkach , Dingolshausen",,,10.39687,49.908,10.375,49.875,160,761,3.99,15.8,173.0,994.94,-4.252,0.128,0.532,731,-4.252,0.128,0.532,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11222,station_011222,7000548,iyp3,15,-24,stations/station_011222.json,"Volkach , Brünnstadt",,,10.29875,49.90847,10.375,49.875,160,761,6.61,43.2,173.0,300.46,-0.798,0.061,0.528,731,-0.798,0.061,0.528,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11223,station_011223,7000549,iyp3,15,-24,stations/station_011223.json,"Breitbach , Marktbreit",,,10.15486,49.66244,10.375,49.875,160,761,28.436,149.3,173.0,15.87,-0.578,0.078,0.489,731,-0.578,0.078,0.489,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11224,station_011224,7000550,iyp3,15,-24,stations/station_011224.json,"Pleichach , Würzburg_Pleichach",,,9.94838,49.79937,10.375,49.875,160,761,31.73,126.3,173.0,36.98,-0.822,0.041,0.507,731,-0.822,0.041,0.507,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11225,station_011225,7000551,iyp3,15,-24,stations/station_011225.json,"Wern , Sachsenheim",,,9.74923,50.02728,9.875,50.375,158,759,39.687,596.3,441.8,-25.91,-1.224,0.126,4.043,731,-1.224,0.126,4.043,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11226,station_011226,7000552,iyp3,15,-24,stations/station_011226.json,"Fränkische Saale , Bad Königshofen im Grabfeld",,,10.46886,50.29606,10.375,49.875,160,761,47.296,89.0,173.0,94.38,-0.649,0.125,0.486,731,-0.649,0.125,0.486,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11227,station_011227,7000553,iyp3,15,-24,stations/station_011227.json,"Milz , Gollmuthhausen",,,10.42339,50.35625,10.375,49.875,160,761,53.624,154.7,173.0,11.83,-0.12,0.001,0.855,703,-0.12,0.001,0.855,703,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11228,station_011228,7000554,iyp3,15,-24,stations/station_011228.json,"Streu , Nordheim vor der Rhön",,,10.18293,50.47797,10.375,49.875,160,761,68.428,63.6,173.0,172.01,-0.128,0.146,1.079,731,-0.128,0.146,1.079,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11229,station_011229,7000555,iyp3,15,-24,stations/station_011229.json,"Streu , Unsleben",,,10.25895,50.37078,10.125,50.125,159,760,28.942,433.8,452.6,4.33,-0.002,0.22,3.145,731,-0.002,0.22,3.145,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11230,station_011230,7000556,iyp3,15,-24,stations/station_011230.json,"Sulz , Stockheim",,,10.252,50.4742,10.375,49.875,160,761,67.201,40.8,173.0,324.02,-0.646,0.085,0.526,731,-0.646,0.085,0.526,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11231,station_011231,7000557,iyp3,15,-24,stations/station_011231.json,"Els , Wechterswinkel",,,10.2276,50.38213,10.375,49.875,160,761,57.361,92.0,173.0,88.04,-0.111,0.178,1.045,731,-0.111,0.178,1.045,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11232,station_011232,7000558,iyp3,15,-24,stations/station_011232.json,"Brend , Unterweißenbrunn",,,10.04495,50.39925,10.375,49.875,160,761,62.861,47.7,173.0,262.68,-0.161,0.136,1.127,731,-0.161,0.136,1.127,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11233,station_011233,7000559,iyp3,15,-24,stations/station_011233.json,"Brend , Schweinhof",,,10.15599,50.34931,10.375,49.875,160,761,55.004,111.9,173.0,54.6,-0.306,0.182,1.798,731,-0.306,0.182,1.798,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11234,station_011234,7000560,iyp3,15,-24,stations/station_011234.json,"Lauer , Poppenlauer",,,10.23751,50.21363,10.375,49.875,160,761,38.913,152.2,173.0,13.67,-0.034,-0.003,0.718,731,-0.034,-0.003,0.718,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
